code,sampling_date,sample_description,sample_description_old,planting_date,lat,long,toc,soc_stock,soc_stock_unit,depth,bd,LC1_Desc
26581768,2018-05-29,0c2bbddb-0547-4358-94c0-b3c782f4f597,d3f85797-68b4-4708-bf67-cfcd98bb71c5,2015-05-29,37.13910423,-8.775251839,28.2,25.8599210232,tC/acre,0.2,1.133,Grassland without tree/shrub cover
26921850,2018-06-29,6f8c7ce0-1066-4532-a1c0-907d35bafdff,bbf82228-c1d7-46af-b9d2-cd86786768a5,2015-06-29,37.93361456,-8.601248224,14.2,13.561837232000002,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
27301972,2018-05-31,f09322a9-0506-4914-ad62-c6d13ac015dd,75a193c8-08cd-4232-bafa-6f2e4ed6c7fa,2015-05-31,39.08650659,-8.480398084,11.5,10.983178040000002,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
27381926,2018-06-08,e60d6ab9-da07-45d8-b3bb-8bea68a8c112,791f44a3-d9d0-4bb5-ae48-a5242a9ef396,2015-06-08,38.70052885,-8.276096238,20.1,19.196685096000003,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
27461868,2018-08-19,61cbcdd0-83e5-4bd5-975c-a312c70fabbb,2211d25c-1c1d-4ab7-8f88-c4f6421004f8,2015-08-19,38.20837457,-8.045813739,12.1,11.556213416000004,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
27501802,2018-07-29,489fc3a0-5954-45ea-9e98-0b61fa965eaa,08a59834-f639-432a-953c-c7813d659f28,2015-07-29,37.63637118,-7.845168807,12.0,13.225138480000002,tC/acre,0.2,1.3616666666666666,Grassland without tree/shrub cover
27521862,2018-08-19,3b54f5a3-f69a-43de-96c5-45b34783c618,7023ec81-ae4c-456e-b25f-926b0a68eb24,2015-08-19,38.16838432,-7.964727398,21.5,20.533767640000004,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
27541792,2018-05-03,38c9f60f-0bf8-48ce-aab6-a583ab14304a,7e0885af-19dd-4f2e-83f2-5512cb7793da,2015-05-03,37.55673214,-7.777729769,9.7,11.1757681074,tC/acre,0.2,1.4235,Grassland without tree/shrub cover
27602150,2018-05-23,3f59ac2a-4113-4691-be24-32ea7dd7e94b,bf9ff828-9843-47e8-96ce-c7c3dbc98984,2015-05-23,40.71000579,-8.598018758,47.2,45.07878291200001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
27641914,2018-06-20,4e253302-28fa-4b4b-877d-fcd5b4dadae4,21257df5-e509-4d63-ac92-8ea081ec8bbc,2015-06-20,38.65080775,-7.955721568,15.4,14.707907984000006,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
27722228,2018-05-01,7a4e4cee-edfb-4a36-a16e-99af340e2f09,750b0c10-6db3-4057-ada8-e9553d049a9f,2015-05-01,41.41779435,-8.667760969,41.6,38.2826481024,tC/acre,0.2,1.1369999999999998,Temporary grassland
27781794,2018-05-16,bd4819bd-25dc-40fe-a9c2-1acd7df533f6,8a094b9c-d07a-416e-8ffb-72611413e151,2015-05-16,37.62426656,-7.517479223,9.6,10.5127710336,tC/acre,0.2,1.353,Grassland without tree/shrub cover
27841822,2018-08-04,45a16f6e-e246-4e69-9b05-6ca8df55b9d9,8e0a0523-639f-46c8-ab1c-4d980642bbc7,2015-08-04,37.88335187,-7.51554572,23.5,25.588565570666667,tC/acre,0.2,1.3453333333333333,Grassland without tree/shrub cover
27901972,2018-04-27,b80d4710-73d6-4786-ab13-246da4979fe9,107a2f64-8ceb-4c58-884e-1a9ff6e1ed83,2015-04-27,39.21522234,-7.8040254,11.7,11.174189832,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
27962406,2018-06-22,0f4a0e78-afbc-4aa4-94ec-34a193fde1a2,d1c55ed9-c6f1-4034-ae77-f16a5f0caaf2,2015-06-22,43.02295198,-8.880337636,60.6,55.9637031912,tC/acre,0.2,1.141,Temporary grassland
28002400,2018-06-25,d7799314-ad3d-4802-b0b2-6efe26511c19,74da00c3-2c94-4787-a362-0cc638808f26,2015-06-25,42.97971315,-8.815422826,53.7,58.132132185,tC/acre,0.2,1.3375,Temporary grassland
